No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
56,"(11000, 0, 0)",[ 1206.0764151],[ 1156.682076],[ 118.19116583],[ 103.80006023],[ 214.00422149],[ 195.751586],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
57,"(11000, 1000, 0)",[ 1098.06852433],[ 1067.330652],[ 82.72374391],[ 73.83578974],[ 163.98485255],[ 151.71307132],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
58,"(11000, 2000, 0)",[ 1020.409047],[ 1008.931952],[ 61.38135576],[ 56.53122849],[ 133.12863185],[ 125.22282592],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
59,"(11000, 3000, 0)",[ 976.05186],[ 967.74540485],[ 49.43509972],[ 47.14420823],[ 114.21076593],[ 109.10898198],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
60,"(11000, 4000, 0)",[ 955.60039837],[ 952.92653587],[ 44.95539398],[ 44.87650686],[ 106.05215789],[ 105.70350477],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
61,"(12000, 0, 0)",[ 1541.032934],[ 1509.847504],[ 156.38636158],[ 139.8358778],[ 157.91454876],[ 141.43349469],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
62,"(12000, 1000, 0)",[ 1425.307954],[ 1398.6199],[ 114.57865901],[ 103.53952996],[ 115.62056216],[ 105.46952201],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
63,"(12000, 2000, 0)",[ 1339.47941],[ 1315.547112],[ 87.95280614],[ 81.83333714],[ 87.89765245],[ 82.95042446],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
64,"(12000, 3000, 0)",[ 1293.938518],[ 1288.701512],[ 72.98448731],[ 70.1655782],[ 73.88283319],[ 71.15017017],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
65,"(12000, 4000, 0)",[ 1249.738282],[ 1249.569268],[ 66.09779398],[ 65.99588682],[ 67.80782536],[ 65.89753047],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
66,"(13000, 0, 0)",[ 1908.49641],[ 1883.594868],[ 211.59157573],[ 194.2224438],[ 119.06239917],[ 105.23410599],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
67,"(13000, 1000, 0)",[ 1783.78593],[ 1771.753826],[ 164.18992835],[ 150.28876582],[ 83.18418399],[ 73.80243498],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
68,"(13000, 2000, 0)",[ 1750.64575],[ 1661.297146],[ 131.70751262],[ 122.0310074],[ 61.23109407],[ 56.72733069],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
69,"(13000, 3000, 0)",[ 1659.5579408],[ 1644.058834],[ 111.93705191],[ 108.02518019],[ 50.10493719],[ 47.84519691],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
70,"(13000, 4000, 0)",[ 1628.033816],[ 1628.033816],[ 103.8785263],[ 103.41290843],[ 45.76333584],[ 45.19523435],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
71,"(14000, 0, 0)",[ 2453.073662],[ 2328.816016],[ 295.2899605],[ 271.91261914],[ 94.463772],[ 82.72374391],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
72,"(14000, 1000, 0)",[ 2300.344372],[ 2177.736648],[ 236.86884444],[ 219.7310669],[ 64.04568689],[ 56.71616083],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
73,"(14000, 2000, 0)",[ 2163.47417],[ 2152.63601],[ 197.1811664],[ 187.12692571],[ 46.48422845],[ 42.57292741],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
74,"(14000, 3000, 0)",[ 2124.916868],[ 2037.083306],[ 173.24586928],[ 167.0757589],[ 37.85425589],[ 35.86958564],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
75,"(14000, 4000, 0)",[ 2037.083306],[ 2037.083306],[ 163.78528406],[ 162.53390183],[ 33.73126561],[ 33.58561167],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
76,"(15000, 0, 0)",[ 2897.200346],[ 2897.200346],[ 405.27667345],[ 376.31237067],[ 81.89352861],[ 70.64144462],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
77,"(15000, 1000, 0)",[ 2799.288908],[ 2787.520004],[ 338.6259898],[ 320.42010698],[ 54.33018947],[ 47.47402093],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
78,"(15000, 2000, 0)",[ 2633.81095],[ 2633.81095],[ 291.3479668],[ 279.0933605],[ 39.01084857],[ 35.52387029],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
79,"(15000, 3000, 0)",[ 2614.82878],[ 2614.00591],[ 263.73324047],[ 257.10720119],[ 30.97377246],[ 29.12068492],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
80,"(15000, 4000, 0)",[ 2614.00591],[ 2614.00591],[ 250.59808308],[ 249.46322565],[ 26.38620889],[ 25.95101081],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
81,"(16000, 0, 0)",[ 3050.941152],[ 3050.941152],[ 549.9289226],[ 522.8708615],[ 77.49887298],[ 66.09845798],False
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
82,"(16000, 1000, 0)",[ 3050.941152],[ 3050.941152],[ 471.9555586],[ 450.40206867],[ 50.63584589],[ 44.84355475],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
83,"(16000, 2000, 0)",[ 3050.941152],[ 3050.941152],[ 418.75781356],[ 405.76512619],[ 36.96791771],[ 33.49322391],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
84,"(16000, 3000, 0)",[ 3050.941152],[ 3050.941152],[ 386.63302039],[ 376.31237067],[ 28.4193663],[ 25.78892867],True
No.,Source location,SD0,SD1,SD2,SD3,SD4,SD5,Alarm
85,"(16000, 4000, 0)",[ 3050.941152],[ 3050.941152],[ 371.44358712],[ 371.03133615],[ 25.56531136],[ 25.56531136],True
